pubKey,Team 1,Team 2,Team 3,Team 4,Team 5,Team 6,Team 7,Team 8,Team 9,Team 10,Team 11,Team 12,Team 13,Team 14,tiebreaker,#num won
AA66Fu3sCJSKyV6t6SUf78B2kKwBXjiu7bpd8jAQobp6,Falcons,Panthers,Bears,Bengals,Eagles,Texans,Dolphins,Ravens,Commanders,Titans,Chiefs,Raiders,Packers,Buccaneers,40,7000
7B2XcuoYzN2jMkaiGj6gaUrs8SbQPrNfZu264ptbvevs,Saints,Browns,49ers,Bengals,Eagles,Colts,Patriots,Ravens,Commanders,Titans,Chiefs,Chargers,Packers,Buccaneers,30,8000
8BD5uHgb8N4QbURGBZ2dbNP49r64zEjZjA8xCSLnfXuy,Falcons,Panthers,49ers,Bengals,Eagles,Colts,Dolphins,Ravens,Jaguars,Titans,Chiefs,Chargers,Packers,Buccaneers,45,6000
EXiGL5EK3BEhFSP1ekkcHHRe4Fpgfty7gHA59rfuG73m,Saints,Browns,49ers,Bengals,Eagles,Colts,Dolphins,Ravens,Commanders,Giants,Chiefs,Chargers,Vikings,Cowboys,51,10000
ARxzW9chM1wNFFGMWxvakCP86JB1KUiHm31dCEvJcJyx,Falcons,Panthers,49ers,Bengals,Eagles,Colts,Patriots,Ravens,Jaguars,Titans,Cardinals,Raiders,Vikings,Buccaneers,38,4000
EzeYj8Pz7JfNybCaN8GoziNMer3cQ7zMQiR8NBw2Vypg,Saints,Panthers,49ers,Bengals,Eagles,Colts,Dolphins,Ravens,Commanders,Titans,Chiefs,Chargers,Packers,Buccaneers,55,8000
FKwDssUeLh6YFkGBfJ47p1KiqrZTLYVuV3MeVxxEZ7Yc,Saints,Browns,49ers,Bengals,Lions,Colts,Dolphins,Ravens,Commanders,Titans,Chiefs,Chargers,Packers,Buccaneers,51,8000
7EC2T4mvzQog8i6HtKUmAPsmoWhCYcXkJcNcHZxWSsE6,Saints,Panthers,49ers,Bengals,Eagles,Colts,Patriots,Ravens,Commanders,Titans,Cardinals,Chargers,Vikings,Buccaneers,49,7000
DxN7Tawr7eyzYYGgJEojQZnaLu6bDw4wDK8oiAzVUnZL,Saints,Browns,Bears,Bengals,Eagles,Colts,Patriots,Jets,Jaguars,Giants,Cardinals,Raiders,Packers,Buccaneers,100,6000
AbYx563EiU5NvHiH5mmLpJzw5oND2A2gLMhD3ha1RvBn,Saints,Panthers,Bears,Bengals,Lions,Texans,Dolphins,Ravens,Commanders,Titans,Chiefs,Raiders,Packers,Cowboys,49,6000
CAZiAdEgNcDVqvNiTQToDCVTj6GGMAa7bZfSe6mVkrAL,Saints,Browns,49ers,Bengals,Lions,Texans,Dolphins,Ravens,Commanders,Titans,Chiefs,Chargers,Packers,Buccaneers,51,8000
7bLy1M25EkYtgLtP87MFtATFmiEz1LKmF4Z4sJkkwrkZ,Saints,Panthers,49ers,Bengals,Eagles,Colts,Dolphins,Ravens,Jaguars,Giants,Chiefs,Chargers,Vikings,Cowboys,36,8000
DPcU8XijSrT8XRjodHoZQaC85ZCQdJop3bPBcmBexrUF,Saints,Browns,Bears,Bengals,Eagles,Colts,Patriots,Ravens,Commanders,Titans,Chiefs,Chargers,Vikings,Cowboys,49,9000
6KeW5X32HxvGqteWYkuhxjd3dyhuv9ZTSsaLkJVi3q6Y,Saints,Panthers,49ers,Bengals,Eagles,Colts,Patriots,Ravens,Jaguars,Titans,Chiefs,Chargers,Packers,Buccaneers,60,6000
EsRkFfvtqPJtRBvYeg1HDsd1ruratCfbe9DmvPyqwFBe,Saints,Browns,49ers,Bengals,Eagles,Colts,Dolphins,Ravens,Commanders,Titans,Chiefs,Raiders,Vikings,Buccaneers,45,9000
7QpfKeN8JgvtbaTctYNvhF2zhYdikw3XP1mJs3buXxVT,Falcons,Panthers,49ers,Bengals,Eagles,Colts,Dolphins,Jets,Commanders,Titans,Chiefs,Raiders,Vikings,Buccaneers,52,6000
FyZkkhGVraPF6QWte4EtLWeRw1EnYUkUY2EzUsgstHZy,Falcons,Panthers,49ers,Bengals,Lions,Colts,Dolphins,Ravens,Commanders,Titans,Chiefs,Chargers,Packers,Buccaneers,44,6000
Hp3nbEkYvoDfE7KydunZM1d2mWnt98J7ZDaFrK4CXYaD,Saints,Browns,49ers,Bengals,Lions,Colts,Patriots,Ravens,Jaguars,Titans,Cardinals,Chargers,Vikings,Buccaneers,45,6000
9radAHjy5tMo42FgFnLWRTNpeaZqfYNyTnnTFxkqnApj,Saints,Panthers,49ers,Bengals,Eagles,Colts,Dolphins,Ravens,Jaguars,Titans,Chiefs,Raiders,Vikings,Buccaneers,50,7000
8zwZ3g7VBqmdkfX9kDxGSFfoGu2AJJC5agQgUXRLfajP,Saints,Panthers,49ers,Bengals,Eagles,Colts,Patriots,Ravens,Commanders,Titans,Chiefs,Raiders,Packers,Buccaneers,47,6000
CiwYfq8UUoNZ95E9uPeH22amEvn5n3682SFbHBWehrp6,Saints,Panthers,49ers,Bengals,Eagles,Colts,Dolphins,Ravens,Commanders,Titans,Chiefs,Raiders,Packers,Buccaneers,35,7000
6SmUiVkgaGffvyfxmYRtoqpNBhGdSfpqvU1hqkmco1g7,Saints,Browns,49ers,Bengals,Eagles,Colts,Patriots,Ravens,Jaguars,Giants,Chiefs,Chargers,Vikings,Buccaneers,54,9000
6rceb7UV4kS4H79GsChvPtgCpyt1F9oMR2wyQJouaPRn,Falcons,Panthers,49ers,Bengals,Eagles,Colts,Dolphins,Ravens,Jaguars,Titans,Chiefs,Raiders,Packers,Buccaneers,33,5000
2PLHBzdoTAEUhNaejxnhTbk6CLHH5AAAdmXnnaUnwUcH,Falcons,Panthers,49ers,Steelers,Eagles,Colts,Patriots,Ravens,Commanders,Giants,Chiefs,Raiders,Packers,Buccaneers,53,7000
HMUbi3NkdZSqA64gj6m48AqLY1Apqi8h1fLmacMmxYAR,Saints,Panthers,49ers,Bengals,Eagles,Texans,Dolphins,Ravens,Jaguars,Titans,Chiefs,Chargers,Vikings,Cowboys,57,7000
3GWe8utu8yLp6osoxD6BGg46URLNJC4nDjq3Nxg1hFME,Saints,Panthers,49ers,Bengals,Eagles,Colts,Dolphins,Ravens,Commanders,Titans,Chiefs,Raiders,Vikings,Buccaneers,54,8000
CyhbEcrLHVMuDPf5L9b5gMq1DsAQ7a44CJt6rWhfJhJA,Saints,Panthers,49ers,Bengals,Eagles,Colts,Dolphins,Ravens,Jaguars,Titans,Chiefs,Chargers,Vikings,Cowboys,64,7000
12YhRJKopZ7QwPwj9QyxpNFQSpJMJS2zhB8XRLzgCBRk,Saints,Panthers,49ers,Bengals,Lions,Colts,Dolphins,Ravens,Jaguars,Titans,Chiefs,Chargers,Packers,Cowboys,51,5000
6jWMWrMmwAJQnEC3gsT2CEY8fPqrkAmzqmEd7qj1no6o,Saints,Panthers,49ers,Bengals,Eagles,Colts,Dolphins,Ravens,Commanders,Titans,Cardinals,Chargers,Vikings,Buccaneers,62,8000
HtWcgVbzEVpqSioCND4cowYsLpXcsSusuATdjYt1Wgmc,Saints,Browns,49ers,Bengals,Eagles,Colts,Dolphins,Ravens,Commanders,Titans,Chiefs,Chargers,Vikings,Buccaneers,17,10000
DYYj5H5de9yjHJwh2zTVD9pRHxWVAJj69hJ8fEgwRQnP,Saints,Panthers,49ers,Bengals,Eagles,Colts,Dolphins,Ravens,Jaguars,Titans,Cardinals,Chargers,Vikings,Cowboys,65,6000
CeRi82oPpYTxGWKkL8r5okFpeVvrCik7d72U54ERvJxJ,Saints,Panthers,49ers,Bengals,Eagles,Colts,Dolphins,Ravens,Jaguars,Giants,Chiefs,Raiders,Packers,Buccaneers,67,7000
CAovPH2QdGQzZCJUAYz7R61342JRLsxFxRMxMBb8KUro,Saints,Panthers,Bears,Bengals,Eagles,Colts,Dolphins,Ravens,Commanders,Titans,Chiefs,Raiders,Vikings,Cowboys,30,8000
HQiRy1xxfvMEjppT5s7jZmgCCWA7unRAbQBpCXpfMkW2,Saints,Panthers,49ers,Bengals,Eagles,Colts,Patriots,Ravens,Commanders,Giants,Chiefs,Chargers,Vikings,Cowboys,42,8000
9GeuuJiyW8EDYCTkWMpWobxfFTgiKoaEY6iTxNhCQbbB,Saints,Browns,49ers,Bengals,Eagles,Colts,Dolphins,Ravens,Jaguars,Giants,Chiefs,Chargers,Packers,Buccaneers,50,9000
68PrYZd9qUK95TbKJddGGZfhyQefkvYduFGy9kzSmzQk,Saints,Browns,Bears,Bengals,Eagles,Colts,Dolphins,Ravens,Jaguars,Titans,Chiefs,Chargers,Packers,Buccaneers,33,9000
6FjP4YovrfDFb4Td66GtqXxrxznPYULUbGVt955RAV8s,Saints,Browns,49ers,Bengals,Eagles,Colts,Patriots,Ravens,Jaguars,Giants,Chiefs,Chargers,Vikings,Cowboys,39,8000
Fni7b9HLdAL1fPNHLYzQxAyZYN1y7MVKmjxhn8QnyMWH,Saints,Browns,Bears,Bengals,Eagles,Colts,Dolphins,Ravens,Jaguars,Titans,Chiefs,Raiders,Vikings,Buccaneers,65,9000
FD1HDB4e95Ei2NSEoVw6tnHDHnuMtYTFMuL6oXSsK3VS,Saints,Panthers,49ers,Bengals,Eagles,Colts,Dolphins,Ravens,Commanders,Titans,Chiefs,Raiders,Packers,Buccaneers,50.5,7000
8msiiBJidJrj2Mi5otRxc7TgXPCWb6bcpWnv3jQDquwR,Saints,Panthers,49ers,Steelers,Eagles,Colts,Patriots,Ravens,Commanders,Titans,Chiefs,Raiders,Packers,Cowboys,49,6000
JDwhn25MCxiwvbBU4nx2yUWgBDS2qRuGtRNwcVj891wk,Saints,Panthers,49ers,Bengals,Eagles,Colts,Dolphins,Ravens,Commanders,Titans,Chiefs,Raiders,Vikings,Buccaneers,56,8000
8z8KmAFwmCuP4Sj4LFRE43XsXD4i6iEVAWoppSh7zZC6,Saints,Panthers,Bears,Bengals,Eagles,Colts,Patriots,Ravens,Commanders,Titans,Chiefs,Chargers,Packers,Buccaneers,46,8000
9bS6N6ZKkjB9nceprvrpsRcGYgVGWzeUXobx5D3FLzA1,Saints,Panthers,49ers,Bengals,Eagles,Colts,Dolphins,Ravens,Commanders,Titans,Cardinals,Raiders,Packers,Buccaneers,53,6000
7t2kMM4L3REDTik3xrr2LB7f7UtrjNGvLUHj2C3tKPCv,Falcons,Panthers,49ers,Bengals,Eagles,Texans,Patriots,Jets,Jaguars,Giants,Chiefs,Raiders,Vikings,Buccaneers,41,5000
52Jz1PGutf1iBeVQvGafGnu6oDA2fRXrs6M6a5YWG4n7,Saints,Panthers,49ers,Bengals,Lions,Colts,Dolphins,Ravens,Jaguars,Titans,Cardinals,Chargers,Packers,Buccaneers,50,5000
GapKqefWtpzNaMPMB6BWXt5Ad9E99RX2muyVLoK8hJt8,Saints,Panthers,49ers,Bengals,Lions,Colts,Dolphins,Ravens,Jaguars,Titans,Chiefs,Chargers,Vikings,Buccaneers,52.5,7000
BzC6oFqsRSDgrjyS35hDa9RRMWs85hH3dpXxYcAoWJsU,Saints,Panthers,49ers,Bengals,Eagles,Colts,Patriots,Ravens,Jaguars,Titans,Cardinals,Chargers,Packers,Buccaneers,42,5000
FvaRj6FxmaRTp2ADaoj4D2jvSDsVjejjSUcd2wvoCqGt,Saints,Panthers,49ers,Bengals,Eagles,Colts,Dolphins,Ravens,Jaguars,Titans,Chiefs,Chargers,Packers,Buccaneers,56,7000
Dut1UKWcPfS2oSN5QjHZZxMksgcQSFQiE1TNTqYHKFD9,Saints,Panthers,49ers,Bengals,Eagles,Colts,Dolphins,Ravens,Commanders,Titans,Chiefs,Chargers,Packers,Buccaneers,57,8000
947hoHwynCPMQ4jQYGQYKZeJZgTp5LZ7pN4vRfFSmR4i,Falcons,Panthers,49ers,Steelers,Eagles,Colts,Dolphins,Ravens,Jaguars,Titans,Chiefs,Chargers,Vikings,Cowboys,49,7000
